stationcode,name,latitude,longitude,nom_arrondissement_communes,id,record_timestamp,ebike,mechanical,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,is_returning
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,13468,2024-07-22T04:39:00.436+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,14964,2024-07-22T04:41:00.336+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,16461,2024-07-22T04:43:01.281+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,18720,2024-07-22T04:45:01.442+02:00,8,4,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,20210,2024-07-22T04:49:00.335+02:00,8,4,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,21711,2024-07-22T04:51:01.555+02:00,8,4,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,5,2024-07-22T04:19:01.377+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,1503,2024-07-22T04:22:00.326+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,2997,2024-07-22T04:21:00.518+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,4493,2024-07-22T04:25:00.791+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,5989,2024-07-22T04:27:00.312+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,7485,2024-07-22T04:29:00.488+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
